# aspect_step loop time dt n_substeps max_diffusion_change max_uplift_change max_total_change max_elevation
2 1 0.033333 0.033333 30 4.220429004019550e-04 4.666666666666667e-04 7.887095670686216e-04 1.175821917805762e-03
2 2 0.066667 0.033333 30 2.403771907973383e-04 4.666666666666668e-04 5.397245851857008e-04 1.482403709279873e-03
2 3 0.100000 0.033333 30 2.972483963657389e-04 4.666666666666667e-04 4.549226275605812e-04 1.860325666174258e-03
2 4 0.133333 0.033333 30 3.285886268105701e-04 4.666666666666667e-04 4.135918708177940e-04 2.248161619574739e-03
2 5 0.166667 0.033333 30 3.480102473664511e-04 4.666666666666669e-04 3.936120905683347e-04 2.619565633774770e-03
2 6 0.200000 0.033333 30 3.621385915073281e-04 4.666666666666669e-04 3.788036882215215e-04 2.973223202335095e-03
2 7 0.233333 0.033333 30 3.733375548918806e-04 4.666666666666669e-04 3.700700211802187e-04 3.313427595088445e-03
2 8 0.266667 0.033333 30 3.825911024751042e-04 4.666666666666669e-04 3.599961473968656e-04 3.671297919827404e-03
2 9 0.300000 0.033333 30 3.903921382001989e-04 4.666666666666669e-04 3.491230747755024e-04 4.020420994602906e-03
2 10 0.333333 0.033333 30 3.970467071800993e-04 4.666666666666669e-04 3.428356730432272e-04 4.358231937219501e-03
2 11 0.366667 0.033333 30 4.027728573767929e-04 4.666666666666669e-04 3.357365762615694e-04 4.684542113575368e-03
2 12 0.400000 0.033333 30 4.077373941969603e-04 4.666666666666669e-04 3.279601581003631e-04 4.999341940106040e-03
2 13 0.433333 0.033333 30 4.120720360059871e-04 4.666666666666669e-04 3.197036742445779e-04 5.302750602270241e-03
2 14 0.466667 0.033333 30 4.158823295018438e-04 4.666666666666669e-04 3.111299690244079e-04 5.594979268913684e-03
2 15 0.500000 0.033333 30 4.192535225030259e-04 4.666666666666669e-04 3.023710717944585e-04 5.876303607752278e-03
2 16 0.533333 0.033333 30 4.222548478657565e-04 4.666666666666669e-04 2.935324841961181e-04 6.147043071807615e-03
2 17 0.566667 0.033333 30 4.249427974371629e-04 4.666666666666669e-04 2.855367021933454e-04 6.407545260326802e-03
2 18 0.600000 0.033333 30 4.273636746140105e-04 4.666666666666669e-04 2.783895451368311e-04 6.658174141935967e-03
2 19 0.633333 0.033333 30 4.295556025971478e-04 4.666666666666669e-04 2.712008068976781e-04 6.908380913701660e-03
2 20 0.666667 0.033333 30 4.315501124675229e-04 4.666666666666669e-04 2.640150777161905e-04 7.167170584626164e-03
2 21 0.700000 0.033333 30 4.333734036987076e-04 4.666666666666669e-04 2.568689479304316e-04 7.417651387227598e-03
2 22 0.733333 0.033333 30 4.350473479970180e-04 4.666666666666669e-04 2.497921520765627e-04 7.660027135162362e-03
2 23 0.766667 0.033333 30 4.365902912942987e-04 4.666666666666669e-04 2.428085915545429e-04 7.894515484954285e-03
2 24 0.800000 0.033333 30 4.380176965063211e-04 4.666666666666664e-04 2.359372348965669e-04 8.121343008613830e-03
2 25 0.833333 0.033333 30 4.393426602915251e-04 4.666666666666664e-04 2.291929010527008e-04 8.340741313800647e-03
2 26 0.866667 0.033333 30 4.405763298101543e-04 4.666666666666669e-04 2.225869347143184e-04 8.552944008046758e-03
2 27 0.900000 0.033333 30 4.417282398854515e-04 4.666666666666664e-04 2.161277843955988e-04 8.758184341369071e-03
2 28 0.933333 0.033333 30 4.428065866235865e-04 4.666666666666669e-04 2.098214944537095e-04 8.956693392910919e-03
2 29 0.966667 0.033333 30 4.438184501664548e-04 4.666666666666669e-04 2.036721219290556e-04 9.148698692940322e-03
2 30 1.000000 0.033333 30 4.447699766099624e-04 4.666666666666669e-04 1.980141644539416e-04 9.334423192476182e-03
3 31 1.033333 0.033333 30 4.456665270513279e-04 4.666666666666664e-04 1.927519099577755e-04 9.514084509817543e-03
3 32 1.066667 0.033333 30 4.465128001032801e-04 4.666666666666664e-04 1.876000242591290e-04 9.687894397017420e-03
3 33 1.100000 0.033333 30 4.473129329323326e-04 4.666666666666669e-04 1.825607824571043e-04 9.856058380467861e-03
3 34 1.133333 0.033333 30 4.480705848665272e-04 4.666666666666669e-04 1.776356656605551e-04 1.001877553874272e-02
3 35 1.166667 0.033333 30 4.487890068167800e-04 4.666666666666669e-04 1.728254793550432e-04 1.017623838808786e-02
3 36 1.200000 0.033333 30 4.494710991197639e-04 4.666666666666669e-04 1.681304563735525e-04 1.032863285178880e-02
3 37 1.233333 0.033333 30 4.501194599040061e-04 4.666666666666664e-04 1.635503462218621e-04 1.047613829435365e-02
3 38 1.266667 0.033333 30 4.507364256770437e-04 4.666666666666669e-04 1.590844923841078e-04 1.061892760524420e-02
3 39 1.300000 0.033333 30 4.513241055086412e-04 4.666666666666664e-04 1.547318990914644e-04 1.075716731994690e-02
3 40 1.333333 0.033333 30 4.518844099263650e-04 4.666666666666664e-04 1.504912888894549e-04 1.089101776864098e-02
3 41 1.366667 0.033333 30 4.524190754320889e-04 4.666666666666669e-04 1.463611521945480e-04 1.102063324470786e-02
3 42 1.400000 0.033333 30 4.529296853807594e-04 4.666666666666664e-04 1.423397898937737e-04 1.114616218692723e-02
3 43 1.433333 0.033333 30 4.534176878278973e-04 4.666666666666664e-04 1.384253499140294e-04 1.126774737049491e-02
3 44 1.466667 0.033333 30 4.538844108432304e-04 4.666666666666669e-04 1.346158585724469e-04 1.138739484664891e-02
3 45 1.500000 0.033333 30 4.543310756994754e-04 4.666666666666669e-04 1.309092474152933e-04 1.151343584128329e-02
3 46 1.533333 0.033333 30 4.547588082735288e-04 4.666666666666669e-04 1.273033761608304e-04 1.163577749400131e-02
3 47 1.566667 0.033333 30 4.551686489388689e-04 4.666666666666669e-04 1.237960522797923e-04 1.175453416325485e-02
3 48 1.600000 0.033333 30 4.555615611803081e-04 4.666666666666664e-04 1.203850476758968e-04 1.186981668539337e-02
3 49 1.633333 0.033333 30 4.559384391232255e-04 4.666666666666669e-04 1.170681128660131e-04 1.198173244662993e-02
3 50 1.666667 0.033333 30 4.563001141374527e-04 4.666666666666664e-04 1.139050053231144e-04 1.209038546093303e-02
3 51 1.700000 0.033333 30 4.566473606496973e-04 4.666666666666669e-04 1.109435713517355e-04 1.219587645225565e-02
3 52 1.733333 0.033333 30 4.569809012767790e-04 4.666666666666664e-04 1.080561189332422e-04 1.229830293979171e-02
3 53 1.766667 0.033333 30 4.573014113740280e-04 4.666666666666664e-04 1.052412117277836e-04 1.239775932518195e-02
3 54 1.800000 0.033333 30 4.576095230784719e-04 4.666666666666669e-04 1.024973948181660e-04 1.249433698078610e-02
3 55 1.833333 0.033333 30 4.579058289140990e-04 4.666666666666669e-04 9.982320109733038e-05 1.258812433829965e-02
3 56 1.866667 0.033333 30 4.581908850163157e-04 4.666666666666669e-04 9.721715686248668e-05 1.267920697712939e-02
3 57 1.900000 0.033333 30 4.584652140241707e-04 4.666666666666664e-04 9.467778670599163e-05 1.276766771205453e-02
3 58 1.933333 0.033333 30 4.587293076818233e-04 4.666666666666664e-04 9.220361778265566e-05 1.285358667979439e-02
3 59 1.966667 0.033333 30 4.589836291847313e-04 4.666666666666669e-04 8.979318352400276e-05 1.293704142418234e-02
