# aspect_step loop time dt n_substeps max_diffusion_change max_uplift_change max_total_change max_elevation
2 1 0.033333 0.033333 30 4.220429004019550e-04 6.000000002241976e-04 9.220429004022397e-04 1.323011340248369e-03
2 2 0.066667 0.033333 30 2.828216353711652e-04 6.000000002241976e-04 6.829190296274569e-04 1.749153709278487e-03
2 3 0.100000 0.033333 30 3.622828409851483e-04 6.000000002241977e-04 5.959096414482916e-04 2.267482610612907e-03
2 4 0.133333 0.033333 30 4.075560548227114e-04 6.000000002241977e-04 5.447843889908534e-04 2.786296988413379e-03
2 5 0.166667 0.033333 30 4.363299995378427e-04 6.000000002241977e-04 5.218859425848259e-04 3.283255856877680e-03
2 6 0.200000 0.033333 30 4.571379963667875e-04 6.000000002241977e-04 5.082251695553764e-04 3.756873373074654e-03
2 7 0.233333 0.033333 30 4.733309176795928e-04 6.000000002241975e-04 4.968311156405914e-04 4.242632761599554e-03
2 8 0.266667 0.033333 30 4.864527640137865e-04 6.000000002241975e-04 4.836523364095445e-04 4.726001843824943e-03
2 9 0.300000 0.033333 30 4.973356855517851e-04 6.000000002241975e-04 4.725497278816083e-04 5.196201662995547e-03
2 10 0.333333 0.033333 30 5.065022790405145e-04 6.000000002241977e-04 4.646858081484477e-04 5.652129865004009e-03
2 11 0.366667 0.033333 30 5.143149342047475e-04 6.000000002241977e-04 4.554415490545674e-04 6.093186067231691e-03
2 12 0.400000 0.033333 30 5.210402383967554e-04 6.000000002241977e-04 4.451651757510396e-04 6.519124153223244e-03
2 13 0.433333 0.033333 30 5.268810514832112e-04 6.000000002241977e-04 4.341545495657444e-04 6.929949060512318e-03
2 14 0.466667 0.033333 30 5.319949889017839e-04 6.000000002241977e-04 4.226550107491022e-04 7.325842598622259e-03
2 15 0.500000 0.033333 30 5.365062663529705e-04 6.000000002241977e-04 4.108640568240797e-04 7.707109401240126e-03
2 16 0.533333 0.033333 30 5.405138390903526e-04 6.000000002241977e-04 3.989381267424322e-04 8.074137301143073e-03
2 17 0.566667 0.033333 30 5.440972411494935e-04 6.000000002241977e-04 3.893213693374640e-04 8.434772387781710e-03
2 18 0.600000 0.033333 30 5.473208915764338e-04 6.000000002241977e-04 3.796524458645218e-04 8.809915026755063e-03
2 19 0.633333 0.033333 30 5.502373308637607e-04 6.000000002241977e-04 3.699193838754954e-04 9.173354462760575e-03
2 20 0.666667 0.033333 30 5.528896879133942e-04 6.000000002241977e-04 3.601849288314505e-04 9.525298310522866e-03
2 21 0.700000 0.033333 30 5.553135816142004e-04 6.000000002241977e-04 3.505003758087800e-04 9.865993817006478e-03
2 22 0.733333 0.033333 30 5.575386002362459e-04 6.000000002241977e-04 3.409072462876549e-04 1.019571653495273e-02
2 23 0.766667 0.033333 30 5.595894614747916e-04 6.000000002241977e-04 3.314387858675983e-04 1.051476139772195e-02
2 24 0.800000 0.033333 30 5.614869283255210e-04 6.000000002241977e-04 3.221212772109433e-04 1.082343571771826e-02
2 25 0.833333 0.033333 30 5.632485365675696e-04 6.000000002241977e-04 3.129751757343820e-04 1.112205372093031e-02
2 26 0.866667 0.033333 30 5.648891757481576e-04 6.000000002241977e-04 3.040160824066534e-04 1.141093230549135e-02
2 27 0.900000 0.033333 30 5.664215554692167e-04 6.000000002241977e-04 2.952555709314388e-04 1.169038777395549e-02
2 28 0.933333 0.033333 30 5.678565813354479e-04 6.000000002241977e-04 2.867018871928629e-04 1.196073333907346e-02
2 29 0.966667 0.033333 30 5.692036593710689e-04 6.000000002241977e-04 2.792062646162514e-04 1.222227724316109e-02
2 30 1.000000 0.033333 30 5.704709435258373e-04 6.000000002241977e-04 2.718984483655196e-04 1.247532136345135e-02
3 31 1.033333 0.033333 30 5.716655377047343e-04 6.000000002241977e-04 2.647349598416428e-04 1.272016020163354e-02
3 32 1.066667 0.033333 30 5.727936613114932e-04 6.000000002241977e-04 2.577202871835542e-04 1.295708017638410e-02
3 33 1.100000 0.033333 30 5.738607854079872e-04 6.000000002241977e-04 2.508576234433249e-04 1.318635915412679e-02
3 34 1.133333 0.033333 30 5.748717451239311e-04 6.000000002241977e-04 2.441490596547594e-04 1.340826616636850e-02
3 35 1.166667 0.033333 30 5.758308328046142e-04 6.000000002241977e-04 2.375957522424768e-04 1.362306127241754e-02
3 36 1.200000 0.033333 30 5.767418754839978e-04 6.000000002241977e-04 2.311980678173405e-04 1.383099553464306e-02
3 37 1.233333 0.033333 30 5.776082995605624e-04 6.000000002241977e-04 2.249557081518971e-04 1.403231108010762e-02
3 38 1.266667 0.033333 30 5.784331849912824e-04 6.000000002241977e-04 2.188678178594184e-04 1.422724122774012e-02
3 39 1.300000 0.033333 30 5.792193108727045e-04 6.000000002241977e-04 2.129330770304447e-04 1.441601066448503e-02
