# aspect_step loop time dt n_substeps max_diffusion_change max_uplift_change max_total_change max_elevation
2 1 0.333333 0.333333 3 5.656471102090661e-04 4.666666666666666e-03 4.866010133030146e-03 5.176111150180673e-03
2 2 0.666667 0.333333 3 4.006576581402205e-03 4.666666666666666e-03 3.368947140182221e-03 7.830006317813124e-03
2 3 1.000000 0.333333 3 4.331395629320047e-03 4.666666666666666e-03 2.571494212362292e-03 1.010330261514983e-02
3 4 1.333333 0.333333 3 4.456151765749641e-03 4.666666666666666e-03 1.927892041973803e-03 1.190077099637553e-02
3 5 1.666667 0.333333 3 4.524112352692400e-03 4.666666666666667e-03 1.463209465045457e-03 1.319662631345691e-02
3 6 2.000000 0.333333 3 4.566518649940662e-03 4.666666666666667e-03 1.108628404763740e-03 1.414153916780136e-02
4 7 2.333333 0.333333 3 4.594722912056268e-03 4.666666666666666e-03 8.506727061913886e-04 1.488820424298163e-02
4 8 2.666667 0.333333 3 4.614185865941343e-03 4.666666666666667e-03 6.523511509115027e-04 1.547833483402670e-02
4 9 3.000000 0.333333 3 4.627948905517943e-03 4.666666666666667e-03 5.005267298749862e-04 1.592318237937513e-02
