case_n_substeps,timestep,substep,process,value,n_substeps,sub_dt
20,3,13,uplift,0.011756102545546982,20,0.05
20,3,13,deposition,0.0031547447965670477,20,0.05
20,3,14,diffusion,0.011410775089319428,20,0.05
20,3,14,uplift,0.011910775089319429,20,0.05
20,3,14,deposition,0.0033171033345407736,20,0.05
20,3,15,diffusion,0.011558759427475543,20,0.05
20,3,15,uplift,0.012058759427475543,20,0.05
20,3,15,deposition,0.0034727975771880245,20,0.05
20,3,16,diffusion,0.011700362314863294,20,0.05
20,3,16,uplift,0.012200362314863294,20,0.05
20,3,16,deposition,0.003622105661441867,20,0.05
20,3,17,diffusion,0.011835875750408217,20,0.05
20,3,17,uplift,0.012335875750408218,20,0.05
20,3,17,deposition,0.0037652947129314784,20,0.05
20,3,18,diffusion,0.011965577654302664,20,0.05
20,3,18,uplift,0.012465577654302664,20,0.05
20,3,18,deposition,0.003902621110124469,20,0.05
20,3,19,diffusion,0.012089732531634484,20,0.05
20,3,19,uplift,0.012589732531634484,20,0.05
20,3,19,deposition,0.004034330778818951,20,0.05
20,4,0,diffusion,0.012208592117737848,20,0.05
20,4,0,uplift,0.012708592117737848,20,0.05
20,4,0,deposition,0.00012821112856951228,20,0.05
20,4,1,diffusion,0.012322396002066045,20,0.05
20,4,1,uplift,0.012822396002066045,20,0.05
20,4,1,deposition,0.0002514205287560342,20,0.05
20,4,2,diffusion,0.012431372228531747,20,0.05
20,4,2,uplift,0.012931372228531747,20,0.05
20,4,2,deposition,0.0003698224746518843,20,0.05
20,4,3,diffusion,0.012535737871121342,20,0.05
20,4,3,uplift,0.013035737871121342,20,0.05
20,4,3,deposition,0.00048360423166495144,20,0.05
20,4,4,diffusion,0.012635699584233178,20,0.05
20,4,4,uplift,0.013135699584233178,20,0.05
20,4,4,deposition,0.0005929462155482602,20,0.05
20,4,5,diffusion,0.012731454127665855,20,0.05
20,4,5,uplift,0.013231454127665855,20,0.05
20,4,5,deposition,0.0006980221632402559,20,0.05
20,4,6,diffusion,0.012823188866531403,20,0.05
20,4,6,uplift,0.013323188866531404,20,0.05
20,4,6,deposition,0.0007989993123881656,20,0.05
20,4,7,diffusion,0.012911082246619182,20,0.05
20,4,7,uplift,0.013411082246619183,20,0.05
20,4,7,deposition,0.0008960385869471454,20,0.05
