# aspect_step loop time dt n_substeps max_diffusion_change max_uplift_change max_total_change max_elevation
2 1 0.100000 0.100000 10 5.171289323221868e-04 1.400000000000000e-03 1.783590470544231e-03 1.940718029580281e-03
2 2 0.200000 0.100000 10 9.500343255177273e-04 1.400000000000000e-03 1.209987482136589e-03 3.057378804949286e-03
2 3 0.300000 0.100000 10 1.109450313268505e-03 1.400000000000000e-03 1.110343443390412e-03 4.069793394470510e-03
2 4 0.400000 0.100000 10 1.187751137199565e-03 1.400000000000001e-03 1.029555272111479e-03 5.083655474787082e-03
2 5 0.500000 0.100000 10 1.234904652330499e-03 1.400000000000001e-03 9.598080915369268e-04 5.994543270548845e-03
2 6 0.600000 0.100000 10 1.266161402050242e-03 1.400000000000001e-03 8.811053033293426e-04 6.807351680873401e-03
2 7 0.700000 0.100000 10 1.288349156910491e-03 1.400000000000001e-03 8.138087508460503e-04 7.534714338096314e-03
2 8 0.800000 0.100000 10 1.304958503240896e-03 1.400000000000000e-03 7.495381590043723e-04 8.262093351233835e-03
2 9 0.900000 0.100000 10 1.317915996016809e-03 1.400000000000001e-03 6.876927952228374e-04 8.920452437964493e-03
2 10 1.000000 0.100000 10 1.328349738461082e-03 1.400000000000000e-03 6.295351238173805e-04 9.516077579932697e-03
3 11 1.100000 0.100000 10 1.336955786231205e-03 1.400000000000000e-03 5.782649101950532e-04 1.005511031374468e-02
3 12 1.200000 0.100000 10 1.344185021341495e-03 1.400000000000001e-03 5.328962042355119e-04 1.054327437949310e-02
3 13 1.300000 0.100000 10 1.350343014651625e-03 1.400000000000000e-03 4.906232224210945e-04 1.098577691193914e-02
3 14 1.400000 0.100000 10 1.355645538452352e-03 1.400000000000000e-03 4.514321343957253e-04 1.138729540842093e-02
3 15 1.500000 0.100000 10 1.360250578369497e-03 1.400000000000001e-03 4.152232805188540e-04 1.175200452778629e-02
3 16 1.600000 0.100000 10 1.364277465907261e-03 1.400000000000000e-03 3.818488420652445e-04 1.208361922263802e-02
3 17 1.700000 0.100000 10 1.367818725916468e-03 1.400000000000000e-03 3.511366765217259e-04 1.241876550470645e-02
3 18 1.800000 0.100000 10 1.370947673599926e-03 1.400000000000000e-03 3.240946276804411e-04 1.272597441751204e-02
3 19 1.900000 0.100000 10 1.373723453537925e-03 1.400000000000000e-03 2.993933679591530e-04 1.300726292355463e-02
3 20 2.000000 0.100000 10 1.376194490746287e-03 1.400000000000000e-03 2.765330429368943e-04 1.326494459371454e-02
4 21 2.100000 0.100000 10 1.378400925094622e-03 1.400000000000000e-03 2.553945225105495e-04 1.350111567109701e-02
4 22 2.200000 0.100000 10 1.380376374996477e-03 1.400000000000000e-03 2.358608541652707e-04 1.371767537323621e-02
4 23 2.300000 0.100000 10 1.382149245700622e-03 1.400000000000000e-03 2.178190685457361e-04 1.391634480899056e-02
4 24 2.400000 0.100000 10 1.383743719984884e-03 1.400000000000000e-03 2.011612997792744e-04 1.409868434051588e-02
4 25 2.500000 0.100000 10 1.385180521862293e-03 1.400000000000000e-03 1.857854277347165e-04 1.426610936880614e-02
4 26 2.600000 0.100000 10 1.386477514450236e-03 1.400000000000000e-03 1.715953879756153e-04 1.441990460129146e-02
4 27 2.700000 0.100000 10 1.387650174294990e-03 1.400000000000000e-03 1.585012524999724e-04 1.456123690017555e-02
4 28 2.800000 0.100000 10 1.388711972069541e-03 1.400000000000000e-03 1.465039432729624e-04 1.469116682731827e-02
4 29 2.900000 0.100000 10 1.389674681246705e-03 1.400000000000000e-03 1.356841475603741e-04 1.481065900544908e-02
4 30 3.000000 0.100000 10 1.390548630633795e-03 1.400000000000000e-03 1.256609620591230e-04 1.492059141222518e-02
