# aspect_step loop time dt n_substeps max_diffusion_change max_uplift_change max_total_change max_elevation
2 1 0.250000 0.250000 4 5.634408418741599e-04 3.500000000000000e-03 3.779315863568536e-03 4.017273704027134e-03
2 2 0.500000 0.250000 4 2.868606729933835e-03 3.500000000000001e-03 2.664278333141237e-03 6.230355549480248e-03
2 3 0.750000 0.250000 4 3.163252622020556e-03 3.500000000000001e-03 2.205436794181706e-03 8.264534237458099e-03
2 4 1.000000 0.250000 4 3.278943726609727e-03 3.500000000000001e-03 1.796363704895986e-03 9.905919067044250e-03
3 5 1.250000 0.250000 4 3.342198658372727e-03 3.500000000000000e-03 1.445807100027568e-03 1.125382402836040e-02
3 6 1.500000 0.250000 4 3.382673056735684e-03 3.500000000000001e-03 1.176524149347713e-03 1.230742668631681e-02
3 7 1.750000 0.250000 4 3.410694943666687e-03 3.500000000000000e-03 9.543886376041696e-04 1.313625601945419e-02
3 8 2.000000 0.250000 4 3.430963106873451e-03 3.500000000000001e-03 7.784488807896089e-04 1.380867006721878e-02
4 9 2.250000 0.250000 4 3.446031087754893e-03 3.500000000000001e-03 6.381463152421423e-04 1.439877796553180e-02
4 10 2.500000 0.250000 4 3.457448257213729e-03 3.500000000000001e-03 5.229678717589854e-04 1.487425593690013e-02
4 11 2.750000 0.250000 4 3.466221994957123e-03 3.500000000000001e-03 4.286593953507067e-04 1.525844000745488e-02
4 12 3.000000 0.250000 4 3.473038334436054e-03 3.500000000000001e-03 3.521678538315996e-04 1.556964873715499e-02
