# aspect_step loop time dt n_substeps max_diffusion_change max_uplift_change max_total_change max_elevation
2 1 0.250000 0.250000 4 5.634408418741599e-04 4.500000001681482e-03 4.881680300700403e-03 5.119573122074911e-03
2 2 0.500000 0.250000 4 3.660704047721613e-03 4.500000001681482e-03 3.591665928997672e-03 8.162696554372083e-03
2 3 0.750000 0.250000 4 4.050526681516308e-03 4.500000001681482e-03 2.993719338798842e-03 1.091618854557432e-02
2 4 1.000000 0.250000 4 4.203395725162738e-03 4.500000001681482e-03 2.450533159090214e-03 1.326157488724930e-02
3 5 1.250000 0.250000 4 4.287290827760115e-03 4.500000001681482e-03 1.985076749790310e-03 1.509713641294349e-02
3 6 1.500000 0.250000 4 4.341222400292305e-03 4.500000001681482e-03 1.618436711945953e-03 1.653494434016707e-02
3 7 1.750000 0.250000 4 4.378727674673179e-03 4.500000001681482e-03 1.315460998640730e-03 1.772388161634460e-02
3 8 2.000000 0.250000 4 4.405962825165564e-03 4.500000001681482e-03 1.080951264218932e-03 1.873405254832163e-02
4 9 2.250000 0.250000 4 4.426281205284014e-03 4.500000001681482e-03 8.875998648959771e-04 1.954727605872672e-02
4 10 2.500000 0.250000 4 4.441725054793158e-03 4.500000001681482e-03 7.285421361700774e-04 2.020387433738236e-02
4 11 2.750000 0.250000 4 4.453627471935678e-03 4.500000001681482e-03 5.984862276577838e-04 2.073544975949285e-02
4 12 3.000000 0.250000 4 4.462899609206890e-03 4.500000001681482e-03 4.945098073403167e-04 2.116686254587084e-02
