n_substeps,total_uplift_change
1,0.04200000000000001
2,0.042
3,0.041999999999999996
4,0.04200000000000001
5,0.042000000000000016
6,0.041999999999999996
10,0.04200000000000001
15,0.04200000000000003
20,0.04199999999999998
30,0.04199999999999997
40,0.04200000000000008
