# aspect_step loop time dt n_substeps max_diffusion_change max_uplift_change max_total_change max_elevation
2 1 0.166667 0.166667 6 5.524484435644217e-04 3.000000001120988e-03 3.370811854853149e-03 3.615166201875740e-03
2 2 0.333333 0.166667 6 2.243791404217126e-03 3.000000001120988e-03 2.542533368419049e-03 5.796652891091113e-03
2 3 0.500000 0.166667 6 2.565181976465896e-03 3.000000001120988e-03 2.281707847585943e-03 8.004680374894638e-03
2 4 0.666667 0.166667 6 2.701000002496011e-03 3.000000001120988e-03 1.995426973131174e-03 9.840095576737415e-03
2 5 0.833333 0.166667 6 2.776024972603353e-03 3.000000001120988e-03 1.752460546261488e-03 1.152331526098370e-02
2 6 1.000000 0.166667 6 2.824230259248078e-03 3.000000001120987e-03 1.519860404733051e-03 1.296739526229442e-02
3 7 1.166667 0.166667 6 2.858248733653555e-03 3.000000001120988e-03 1.323427436427275e-03 1.419118465229111e-02
3 8 1.333333 0.166667 6 2.883695369663663e-03 3.000000001120988e-03 1.155666863730545e-03 1.523041364594601e-02
3 9 1.500000 0.166667 6 2.903443637923309e-03 3.000000001120988e-03 1.007204797911058e-03 1.611540349347557e-02
3 10 1.666667 0.166667 6 2.919146186348536e-03 3.000000001120988e-03 8.771032813276458e-04 1.694545516065830e-02
3 11 1.833333 0.166667 6 2.931844986474126e-03 3.000000001120988e-03 7.695302379738880e-04 1.767002242248775e-02
3 12 2.000000 0.166667 6 2.942243499903583e-03 3.000000001120988e-03 6.750200508505791e-04 1.829644046939118e-02
4 13 2.166667 0.166667 6 2.950840779942938e-03 3.000000001120987e-03 5.918810765910346e-04 1.883873559402778e-02
4 14 2.333333 0.166667 6 2.958003843351658e-03 3.000000001120988e-03 5.188931793447503e-04 1.930881834498861e-02
4 15 2.500000 0.166667 6 2.964009926156487e-03 3.000000001120988e-03 4.548991212657630e-04 1.971681001011620e-02
4 16 2.666667 0.166667 6 2.969072798558047e-03 3.000000001120987e-03 3.991295679182383e-04 2.007132438424123e-02
4 17 2.833333 0.166667 6 2.973360009765022e-03 3.000000001120988e-03 3.514731050787215e-04 2.037970595905203e-02
4 18 3.000000 0.166667 6 2.977004648313352e-03 3.000000001120988e-03 3.094606164745252e-04 2.064822944038511e-02
