# aspect_step loop time dt n_substeps max_diffusion_change max_uplift_change max_total_change max_elevation
2 1 0.333333 0.333333 3 5.656471102090661e-04 6.000000002241976e-03 6.386077389870181e-03 6.623970211244689e-03
2 2 0.666667 0.333333 3 5.123099994875791e-03 6.000000002241976e-03 4.568844749255618e-03 1.031301239367715e-02
2 3 1.000000 0.333333 3 5.551142265915720e-03 6.000000002241976e-03 3.505256131963872e-03 1.353804814573188e-02
3 4 1.333333 0.333333 3 5.716313204767369e-03 6.000000002241976e-03 2.646683794626487e-03 1.598528283409801e-02
3 5 1.666667 0.333333 3 5.806883812340515e-03 6.000000002241976e-03 2.013962097362654e-03 1.775472853788103e-02
3 6 2.000000 0.333333 3 5.863735802689512e-03 6.000000002241976e-03 1.538504060957901e-03 1.916401478776527e-02
4 7 2.333333 0.333333 3 5.901736826677064e-03 6.000000002241975e-03 1.183168341256622e-03 2.024801448281301e-02
4 8 2.666667 0.333333 3 5.928072185443396e-03 6.000000002241976e-03 9.092196009411156e-04 2.106344494429512e-02
4 9 3.000000 0.333333 3 5.946765973248730e-03 6.000000002241976e-03 7.024144443078667e-04 2.167971216695464e-02
