# aspect_step loop time dt n_substeps max_diffusion_change max_uplift_change max_total_change max_elevation
2 1 0.166667 0.166667 6 5.524484435644217e-04 2.333333333333333e-03 2.684597364103143e-03 2.860267160604387e-03
2 2 0.333333 0.166667 6 1.768114588917640e-03 2.333333333333333e-03 1.895160490815617e-03 4.514398002536022e-03
2 3 0.500000 0.166667 6 2.007183983969976e-03 2.333333333333334e-03 1.681548264125941e-03 6.104966346818922e-03
2 4 0.666667 0.166667 6 2.109552864551327e-03 2.333333333333334e-03 1.469315279216843e-03 7.460772564629350e-03
2 5 0.833333 0.166667 6 2.166231474760459e-03 2.333333333333333e-03 1.284940941642368e-03 8.632114113561651e-03
2 6 1.000000 0.166667 6 2.202603158785819e-03 2.333333333333334e-03 1.113252155343417e-03 9.693554834400821e-03
3 7 1.166667 0.166667 6 2.228207067927906e-03 2.333333333333334e-03 9.637865055489980e-04 1.059199284738056e-02
3 8 1.333333 0.166667 6 2.247304643142550e-03 2.333333333333334e-03 8.405706239617422e-04 1.135392147444790e-02
3 9 1.500000 0.166667 6 2.262083024554471e-03 2.333333333333333e-03 7.316461114215220e-04 1.200185418240843e-02
3 10 1.666667 0.166667 6 2.273801713841786e-03 2.333333333333334e-03 6.363056728024945e-04 1.255443803312740e-02
3 11 1.833333 0.166667 6 2.283254616094357e-03 2.333333333333333e-03 5.544722789853351e-04 1.305326696768237e-02
3 12 2.000000 0.166667 6 2.290976964967377e-03 2.333333333333333e-03 4.858262781756405e-04 1.350842517318791e-02
4 13 2.166667 0.166667 6 2.297347666749454e-03 2.333333333333334e-03 4.255234423500842e-04 1.390191105047447e-02
4 14 2.333333 0.166667 6 2.302644701794919e-03 2.333333333333334e-03 3.726564403924368e-04 1.424253385717238e-02
4 15 2.500000 0.166667 6 2.307077529522710e-03 2.333333333333333e-03 3.263667285851295e-04 1.453777057655370e-02
4 16 2.666667 0.166667 6 2.310807275843997e-03 2.333333333333333e-03 2.858661895123009e-04 1.479397618058158e-02
4 17 2.833333 0.166667 6 2.313959950627404e-03 2.333333333333334e-03 2.504445769528438e-04 1.501656155041470e-02
4 18 3.000000 0.166667 6 2.316635445348061e-03 2.333333333333334e-03 2.203164710260271e-04 1.521014258755494e-02
