# aspect_step loop time dt n_substeps max_diffusion_change max_uplift_change max_total_change max_elevation
2 1 0.066667 0.066667 15 4.999944036976187e-04 1.200000000448395e-03 1.568413750089454e-03 1.849738653710224e-03
2 2 0.133333 0.066667 15 7.068096538193194e-04 1.200000000448395e-03 1.166118535437296e-03 2.810697509826234e-03
2 3 0.200000 0.066667 15 8.636477866290370e-04 1.200000000448395e-03 1.037137082619159e-03 3.805621793094315e-03
2 4 0.266667 0.066667 15 9.427401893956457e-04 1.200000000448395e-03 9.937150175123302e-04 4.751915110545403e-03
2 5 0.333333 0.066667 15 9.928986256472776e-04 1.200000000448395e-03 9.462711201538758e-04 5.693101956604136e-03
2 6 0.400000 0.066667 15 1.027763602911461e-03 1.200000000448395e-03 9.114644131590875e-04 6.575566748964643e-03
2 7 0.466667 0.066667 15 1.053302896839047e-03 1.200000000448395e-03 8.685910914959984e-04 7.397376016197707e-03
2 8 0.533333 0.066667 15 1.072750038660344e-03 1.200000000448395e-03 8.218605758983574e-04 8.159975524791320e-03
2 9 0.600000 0.066667 15 1.088034261272020e-03 1.200000000448395e-03 7.786674506013933e-04 8.874639970744927e-03
2 10 0.666667 0.066667 15 1.100371500172195e-03 1.200000000448395e-03 7.398427705510302e-04 9.601534656556797e-03
2 11 0.733333 0.066667 15 1.110558014538375e-03 1.200000000448395e-03 7.009927404558677e-04 1.028291909717955e-02
2 12 0.800000 0.066667 15 1.119131290652804e-03 1.200000000448395e-03 6.628617421544618e-04 1.092098915672012e-02
2 13 0.866667 0.066667 15 1.126463757374381e-03 1.200000000448395e-03 6.259288653904915e-04 1.151819740309986e-02
2 14 0.933333 0.066667 15 1.132819716322532e-03 1.200000000448395e-03 5.904852374946160e-04 1.207707531253920e-02
2 15 1.000000 0.066667 15 1.138391016729834e-03 1.200000000448395e-03 5.583900721196251e-04 1.260012651969221e-02
3 16 1.066667 0.066667 15 1.143319960901537e-03 1.200000000448395e-03 5.294443105959851e-04 1.308976510375102e-02
3 17 1.133333 0.066667 15 1.147714311604941e-03 1.200000000448395e-03 5.016867392355420e-04 1.354828221319094e-02
3 18 1.200000 0.066667 15 1.151657302010421e-03 1.200000000448395e-03 4.751604033724939e-04 1.397783035870035e-02
3 19 1.266667 0.066667 15 1.155214423830595e-03 1.200000000448395e-03 4.498780464080032e-04 1.438041856740410e-02
3 20 1.333333 0.066667 15 1.158438104410952e-03 1.200000000448395e-03 4.258308396955426e-04 1.475791406235556e-02
3 21 1.400000 0.066667 15 1.161370979995225e-03 1.200000000448395e-03 4.029948687630583e-04 1.512599411921662e-02
3 22 1.466667 0.066667 15 1.164048222337124e-03 1.200000000448395e-03 3.813359236956131e-04 1.549296405452058e-02
3 23 1.533333 0.066667 15 1.166499218233205e-03 1.200000000448395e-03 3.608130198050549e-04 1.583884590317206e-02
3 24 1.600000 0.066667 15 1.168748800780257e-03 1.200000000448395e-03 3.417719351043128e-04 1.616491400497924e-02
3 25 1.666667 0.066667 15 1.170818165893741e-03 1.200000000448395e-03 3.244332415884461e-04 1.647236599943973e-02
3 26 1.733333 0.066667 15 1.172725564851763e-03 1.200000000448395e-03 3.079299566576543e-04 1.676232596075476e-02
3 27 1.800000 0.066667 15 1.174486835285223e-03 1.200000000448395e-03 2.922323152304701e-04 1.703584797012837e-02
3 28 1.866667 0.066667 15 1.176115814049695e-03 1.200000000448395e-03 2.773093562079901e-04 1.729391989646323e-02
3 29 1.933333 0.066667 15 1.177624662563481e-03 1.200000000448395e-03 2.631295275203165e-04 1.753746723174340e-02
3 30 2.000000 0.066667 15 1.179024126406127e-03 1.200000000448395e-03 2.496611495605011e-04 1.776735687961946e-02
4 31 2.066667 0.066667 15 1.180323744895883e-03 1.200000000448395e-03 2.368727677724176e-04 1.798440083193259e-02
4 32 2.133333 0.066667 15 1.181532022120753e-03 1.200000000448395e-03 2.247334183452521e-04 1.818935969296415e-02
4 33 2.200000 0.066667 15 1.182656567901437e-03 1.200000000448395e-03 2.132128257082734e-04 1.838294602844042e-02
4 34 2.266667 0.066667 15 1.183704215026456e-03 1.200000000448395e-03 2.022815464576277e-04 1.856582752810655e-02
4 35 2.333333 0.066667 15 1.184681117557129e-03 1.200000000448395e-03 1.919110712016690e-04 1.873862997864850e-02
4 36 2.400000 0.066667 15 1.185592833875018e-03 1.200000000448395e-03 1.820738933708821e-04 1.890194004903632e-02
4 37 2.466667 0.066667 15 1.186444397314790e-03 1.200000000448395e-03 1.727435521370925e-04 1.905630789379151e-02
4 38 2.533333 0.066667 15 1.187240376606900e-03 1.200000000448395e-03 1.638946551006625e-04 1.920224958181214e-02
4 39 2.600000 0.066667 15 1.187984927888347e-03 1.200000000448395e-03 1.557503964792380e-04 1.934024935961976e-02
4 40 2.666667 0.066667 15 1.188681839684734e-03 1.200000000448395e-03 1.480311040419381e-04 1.947076175850328e-02
4 41 2.733333 0.066667 15 1.189334571993623e-03 1.200000000448395e-03 1.406902822368335e-04 1.959421355522403e-02
4 42 2.800000 0.066667 15 1.189946290386843e-03 1.200000000448395e-03 1.337103035158708e-04 1.971100559585354e-02
4 43 2.866667 0.066667 15 1.190519895882783e-03 1.200000000448395e-03 1.270742058144640e-04 1.982151449203763e-02
4 44 2.933333 0.066667 15 1.191058051207762e-03 1.200000000448395e-03 1.207656927656904e-04 1.992609419858824e-02
4 45 3.000000 0.066667 15 1.191563203960236e-03 1.200000000448395e-03 1.147691288960646e-04 2.002507748084350e-02
