# aspect_step loop time dt n_substeps max_diffusion_change max_uplift_change max_total_change max_elevation
2 1 0.066667 0.066667 15 4.999944036976187e-04 9.333333333333334e-04 1.301747083439473e-03 1.516405320387720e-03
2 2 0.133333 0.066667 15 5.766318756913583e-04 9.333333333333335e-04 8.841074243284995e-04 2.272641954276640e-03
2 3 0.200000 0.066667 15 6.869311223270656e-04 9.333333333333333e-04 7.805669242836361e-04 3.016457152824329e-03
2 4 0.266667 0.066667 15 7.427007855925895e-04 9.333333333333333e-04 7.401716938274226e-04 3.691988148547425e-03
2 5 0.333333 0.066667 15 7.789741814132505e-04 9.333333333333335e-04 6.984981768093450e-04 4.389880323780218e-03
2 6 0.400000 0.066667 15 8.046518640644216e-04 9.333333333333333e-04 6.717793021348796e-04 5.042696017891838e-03
2 7 0.466667 0.066667 15 8.236637991228431e-04 9.333333333333333e-04 6.396428945355604e-04 5.649731567356217e-03
2 8 0.533333 0.066667 15 8.382280248962599e-04 9.333333333333338e-04 6.049321996429331e-04 6.212583113911165e-03
2 9 0.600000 0.066667 15 8.497121146235189e-04 9.333333333333333e-04 5.711476349825363e-04 6.733759951594416e-03
2 10 0.666667 0.066667 15 8.589971909038474e-04 9.333333333333333e-04 5.424692283889140e-04 7.222136004653635e-03
2 11 0.733333 0.066667 15 8.666686107910364e-04 9.333333333333338e-04 5.137966312692040e-04 7.723195381577203e-03
2 12 0.800000 0.066667 15 8.731252763383539e-04 9.333333333333338e-04 4.856658762208456e-04 8.192247618129528e-03
2 13 0.866667 0.066667 15 8.786453913726452e-04 9.333333333333333e-04 4.584242983047254e-04 8.631101066245796e-03
2 14 0.933333 0.066667 15 8.834273016162797e-04 9.333333333333338e-04 4.322843757068283e-04 9.041623008862829e-03
2 15 1.000000 0.066667 15 8.876154735773553e-04 9.333333333333338e-04 4.073642251664240e-04 9.425662037120863e-03
3 16 1.066667 0.066667 15 8.913173456632359e-04 9.333333333333333e-04 3.855070353532015e-04 9.785002555883882e-03
3 17 1.133333 0.066667 15 8.946144470377468e-04 9.333333333333338e-04 3.651203383089052e-04 1.012133979329685e-02
3 18 1.200000 0.066667 15 8.975698513388223e-04 9.333333333333338e-04 3.456456646649276e-04 1.043626775376378e-02
3 19 1.266667 0.066667 15 9.002332503673803e-04 9.333333333333333e-04 3.270917651384594e-04 1.073127521963371e-02
3 20 1.333333 0.066667 15 9.026444603031790e-04 9.333333333333338e-04 3.094516833455248e-04 1.100774664440871e-02
3 21 1.400000 0.066667 15 9.048358816708593e-04 9.333333333333333e-04 2.927074329270220e-04 1.126696590983590e-02
3 22 1.466667 0.066667 15 9.068342517580298e-04 9.333333333333338e-04 2.768334743051323e-04 1.151012165289957e-02
3 23 1.533333 0.066667 15 9.086619122649076e-04 9.333333333333338e-04 2.617992834711858e-04 1.173956185591819e-02
3 24 1.600000 0.066667 15 9.103377404398936e-04 9.333333333333338e-04 2.475712395789680e-04 1.197705524518881e-02
3 25 1.666667 0.066667 15 9.118778435013800e-04 9.333333333333338e-04 2.341140040729491e-04 1.220086533136295e-02
3 26 1.733333 0.066667 15 9.132960843027996e-04 9.333333333333333e-04 2.218630907390093e-04 1.241182471688142e-02
3 27 1.800000 0.066667 15 9.146044850516680e-04 9.333333333333338e-04 2.104577007764948e-04 1.261071400805402e-02
3 28 1.866667 0.066667 15 9.158135417055499e-04 9.333333333333338e-04 1.996211586676178e-04 1.279826459822221e-02
3 29 1.933333 0.066667 15 9.169324720507922e-04 9.333333333333333e-04 1.893299455308483e-04 1.297516149994263e-02
3 30 2.000000 0.066667 15 9.179694138834490e-04 9.333333333333333e-04 1.795604784148568e-04 1.314204614909110e-02
4 31 2.066667 0.066667 15 9.189315851540233e-04 9.333333333333338e-04 1.702893679850371e-04 1.329951913095546e-02
4 32 2.133333 0.066667 15 9.198254147500069e-04 9.333333333333333e-04 1.614936126676687e-04 1.344814279723907e-02
4 33 2.200000 0.066667 15 9.206566503370366e-04 9.333333333333338e-04 1.531507427806472e-04 1.358844375592314e-02
4 34 2.266667 0.066667 15 9.214304480692345e-04 9.333333333333338e-04 1.452389252895592e-04 1.372091522487555e-02
4 35 2.333333 0.066667 15 9.221514478159566e-04 9.333333333333338e-04 1.377370375768815e-04 1.384601924616761e-02
4 36 2.400000 0.066667 15 9.228238367021834e-04 9.333333333333338e-04 1.306247168543547e-04 1.396418876212291e-02
4 37 2.466667 0.066667 15 9.234514031319350e-04 9.333333333333338e-04 1.238823904726478e-04 1.407582955677777e-02
4 38 2.533333 0.066667 15 9.240375829950445e-04 9.333333333333338e-04 1.174912913015427e-04 1.418132206810354e-02
4 39 2.600000 0.066667 15 9.245854994035367e-04 9.333333333333338e-04 1.114334615017806e-04 1.428102307732716e-02
4 40 2.666667 0.066667 15 9.250979970335080e-04 9.333333333333333e-04 1.056917473358822e-04 1.437526728219847e-02
4 41 2.733333 0.066667 15 9.255776719400192e-04 9.333333333333338e-04 1.002497871302067e-04 1.446436876124085e-02
4 42 2.800000 0.066667 15 9.260268975502051e-04 9.333333333333338e-04 9.522651179524368e-05 1.454862233599063e-02
4 43 2.866667 0.066667 15 9.264478474121651e-04 9.333333333333338e-04 9.047869209619433e-05 1.462830483805526e-02
4 44 2.933333 0.066667 15 9.268425151760470e-04 9.333333333333333e-04 8.596683941721611e-05 1.470367628755279e-02
4 45 3.000000 0.066667 15 9.272127322027248e-04 9.333333333333338e-04 8.167957191595847e-05 1.477498098917264e-02
