# aspect_step loop time dt n_substeps max_diffusion_change max_uplift_change max_total_change max_elevation
2 1 0.025000 0.025000 40 3.437504195321605e-04 4.500000001681483e-04 7.187504195323740e-04 1.217723671815976e-03
2 2 0.050000 0.025000 40 2.000607474364800e-04 4.500000001681483e-04 5.505308199838482e-04 1.526785361860638e-03
2 3 0.075000 0.025000 40 2.463905804185556e-04 4.500000001681481e-04 4.822125198619262e-04 1.872592779960666e-03
2 4 0.100000 0.025000 40 2.807637853318103e-04 4.500000001681481e-04 4.408453781134893e-04 2.263261784404831e-03
2 5 0.125000 0.025000 40 3.045943888096427e-04 4.500000001681481e-04 4.111771087699752e-04 2.651104980904246e-03
2 6 0.150000 0.025000 40 3.218555011056821e-04 4.500000001681481e-04 3.967225048400933e-04 3.027457634842389e-03
2 7 0.175000 0.025000 40 3.351046817359601e-04 4.500000001681481e-04 3.840462992452148e-04 3.391163092765220e-03
2 8 0.200000 0.025000 40 3.457756180031183e-04 4.500000001681484e-04 3.786874940115920e-04 3.744067964202387e-03
2 9 0.225000 0.025000 40 3.546668207550412e-04 4.500000001681484e-04 3.722256273034318e-04 4.114317843952402e-03
2 10 0.250000 0.025000 40 3.622447622012312e-04 4.500000001681484e-04 3.649884299612976e-04 4.478514583091540e-03
2 11 0.275000 0.025000 40 3.688024108403076e-04 4.500000001681484e-04 3.572469878606781e-04 4.835761570952218e-03
2 12 0.300000 0.025000 40 3.745383940455698e-04 4.500000001681484e-04 3.525599729430591e-04 5.185435411449946e-03
2 13 0.325000 0.025000 40 3.795966182853624e-04 4.500000001681484e-04 3.480675926501760e-04 5.527116562306823e-03
2 14 0.350000 0.025000 40 3.840867369292868e-04 4.500000001681484e-04 3.430021424348497e-04 5.860540276276963e-03
2 15 0.375000 0.025000 40 3.880953069865141e-04 4.500000001681484e-04 3.374704068100746e-04 6.185560567167007e-03
2 16 0.400000 0.025000 40 3.916923038084579e-04 4.500000001681484e-04 3.315697598191463e-04 6.502122988802352e-03
2 17 0.425000 0.025000 40 3.949352190240939e-04 4.500000001681484e-04 3.253862009758475e-04 6.810243662923689e-03
2 18 0.450000 0.025000 40 3.978718241252543e-04 4.500000001681484e-04 3.189941793233630e-04 7.109992908197599e-03
2 19 0.475000 0.025000 40 4.005421449267865e-04 4.500000001681484e-04 3.124572655376001e-04 7.401482353972235e-03
2 20 0.500000 0.025000 40 4.029799353054927e-04 4.500000001681484e-04 3.058291867427381e-04 7.684854746568944e-03
2 21 0.525000 0.025000 40 4.052138122898857e-04 4.500000001681484e-04 2.991549725847387e-04 7.960275864630158e-03
2 22 0.550000 0.025000 40 4.072681498548522e-04 4.500000001681484e-04 2.936923170674087e-04 8.227928101676045e-03
2 23 0.575000 0.025000 40 4.091637938467793e-04 4.500000001681484e-04 2.883027264410851e-04 8.511254446678072e-03
2 24 0.600000 0.025000 40 4.109186404360121e-04 4.500000001681484e-04 2.828696570178098e-04 8.790452936326264e-03
2 25 0.625000 0.025000 40 4.125481082575817e-04 4.500000001681484e-04 2.774153875768244e-04 9.063106725932970e-03
2 26 0.650000 0.025000 40 4.140655264670947e-04 4.500000001681484e-04 2.719592062159996e-04 9.329300715765624e-03
2 27 0.675000 0.025000 40 4.154824555248514e-04 4.500000001681484e-04 2.665177233335449e-04 9.589133045503830e-03
2 28 0.700000 0.025000 40 4.168089536737292e-04 4.500000001681484e-04 2.611051656451011e-04 9.842712246803869e-03
2 29 0.725000 0.025000 40 4.180537992558827e-04 4.500000001681484e-04 2.557336480216183e-04 1.009015485391043e-02
2 30 0.750000 0.025000 40 4.192246768968955e-04 4.500000001681484e-04 2.504134218275101e-04 1.033158340370843e-02
2 31 0.775000 0.025000 40 4.203283339696048e-04 4.500000001681484e-04 2.451530997065864e-04 1.056712476606661e-02
2 32 0.800000 0.025000 40 4.213707124981589e-04 4.500000001681484e-04 2.399598575825671e-04 1.079690875378868e-02
2 33 0.825000 0.025000 40 4.223570606828836e-04 4.500000001681484e-04 2.348396151419189e-04 1.102106696892755e-02
