n_substeps,L2_error
1,0.05107361634690868
2,0.06343694602177521
3,0.07287370715432076
4,0.08030954166777372
5,0.08627338513603483
6,0.09108228346270152
10,0.10209864182581119
15,0.10335867320805815
20,0.09508795871199664
30,0.057989886530026
40,0.0
