case_n_substeps,timestep,substep,process,value,n_substeps,sub_dt
10,3,7,deposition,0.011199997433265396,10,0.1
10,3,8,diffusion,0.025199995936003444,10,0.1
10,3,8,diffusion_change,8.270587548153685e-10,10,0.1
10,3,8,uplift,0.026599995936003443,10,0.1
10,3,8,uplift_change,0.001400000000000002,10,0.1
10,3,8,deposition,0.012599997005476319,10,0.1
10,3,9,diffusion,0.026599995484448316,10,0.1
10,3,9,diffusion_change,8.730064414430583e-10,10,0.1
10,3,9,uplift,0.027999995484448315,10,0.1
10,3,9,uplift_change,0.001400000000000002,10,0.1
10,3,9,deposition,0.01399999655392119,10,0.1
10,4,0,diffusion,0.027999995009127136,10,0.1
10,4,0,diffusion_change,9.189541280707481e-10,10,0.1
10,4,0,uplift,0.029399995009127135,10,0.1
10,4,0,uplift_change,0.001400000000000002,10,0.1
10,4,0,deposition,0.0013999995246788202,10,0.1
10,4,1,diffusion,0.029399994510039905,10,0.1
10,4,1,diffusion_change,9.649018112289909e-10,10,0.1
10,4,1,uplift,0.030799994510039903,10,0.1
10,4,1,uplift_change,0.001400000000000002,10,0.1
10,4,1,deposition,0.002799999025591589,10,0.1
10,4,2,diffusion,0.030799993987186622,10,0.1
10,4,2,diffusion_change,1.0108494909177868e-09,10,0.1
10,4,2,uplift,0.03219999398718662,10,0.1
10,4,2,uplift_change,0.001400000000000002,10,0.1
10,4,2,deposition,0.004199998502738306,10,0.1
10,4,3,diffusion,0.03219999344056729,10,0.1
10,4,3,diffusion_change,1.0567971706065826e-09,10,0.1
10,4,3,uplift,0.033599993440567286,10,0.1
10,4,3,uplift_change,0.0013999999999999985,10,0.1
10,4,3,deposition,0.005599997956118971,10,0.1
10,4,4,diffusion,0.03359999287018191,10,0.1
10,4,4,diffusion_change,1.1027448468259315e-09,10,0.1
10,4,4,uplift,0.034999992870181906,10,0.1
10,4,4,uplift_change,0.0013999999999999985,10,0.1
10,4,4,deposition,0.006999997385733592,10,0.1
10,4,5,diffusion,0.03499999227603048,10,0.1
10,4,5,diffusion_change,1.1486925230452805e-09,10,0.1
10,4,5,uplift,0.036399992276030475,10,0.1
10,4,5,uplift_change,0.0013999999999999985,10,0.1
10,4,5,deposition,0.00839999679158216,10,0.1
10,4,6,diffusion,0.036399991658113,10,0.1
10,4,6,diffusion_change,1.1946401923257355e-09,10,0.1
10,4,6,uplift,0.037799991658113,10,0.1
10,4,6,uplift_change,0.0013999999999999985,10,0.1
10,4,6,deposition,0.009799996173664685,10,0.1
10,4,7,diffusion,0.037799991016429474,10,0.1
10,4,7,diffusion_change,1.2405878616061905e-09,10,0.1
10,4,7,uplift,0.03919999101642947,10,0.1
10,4,7,uplift_change,0.0013999999999999985,10,0.1
10,4,7,deposition,0.011199995531981158,10,0.1
10,4,8,diffusion,0.0391999903509799,10,0.1
10,4,8,diffusion_change,1.2865355308866455e-09,10,0.1
10,4,8,uplift,0.0405999903509799,10,0.1
10,4,8,uplift_change,0.0013999999999999985,10,0.1
10,4,8,deposition,0.012599994866531586,10,0.1
10,4,9,diffusion,0.040599989661764285,10,0.1
10,4,9,diffusion_change,1.3324831932282066e-09,10,0.1
10,4,9,uplift,0.041999989661764284,10,0.1
10,4,9,uplift_change,0.0013999999999999985,10,0.1
10,4,9,deposition,0.01399999417731597,10,0.1
15,2,0,diffusion,0.0,15,0.06666666666666667
15,2,0,diffusion_change,0.0,15,0.06666666666666667
15,2,0,uplift,0.0009333333333333333,15,0.06666666666666667
15,2,0,uplift_change,0.0009333333333333333,15,0.06666666666666667
15,2,0,deposition,0.0009333333333333333,15,0.06666666666666667
15,2,1,diffusion,0.0009333333227706374,15,0.06666666666666667
15,2,1,diffusion_change,2.042121213883391e-11,15,0.06666666666666667
15,2,1,uplift,0.0018666666561039707,15,0.06666666666666667
15,2,1,uplift_change,0.0009333333333333334,15,0.06666666666666667
15,2,1,deposition,0.0018666666561039707,15,0.06666666666666667
15,2,2,diffusion,0.0018666666349785792,15,0.06666666666666667
15,2,2,diffusion_change,4.084242362714652e-11,15,0.06666666666666667
15,2,2,uplift,0.0027999999683119125,15,0.06666666666666667
15,2,2,uplift_change,0.0009333333333333335,15,0.06666666666666667
15,2,2,deposition,0.0027999999683119125,15,0.06666666666666667
15,2,3,diffusion,0.0027999999366238254,15,0.06666666666666667
15,2,3,diffusion_change,6.12636343565176e-11,15,0.06666666666666667
15,2,3,uplift,0.0037333332699571588,15,0.06666666666666667
15,2,3,uplift_change,0.0009333333333333333,15,0.06666666666666667
15,2,3,deposition,0.0037333332699571588,15,0.06666666666666667
15,2,4,diffusion,0.0037333332277063765,15,0.06666666666666667
15,2,4,diffusion_change,8.168484465220782e-11,15,0.06666666666666667
15,2,4,uplift,0.004666666561039709,15,0.06666666666666667
15,2,4,uplift_change,0.0009333333333333333,15,0.06666666666666667
15,2,4,deposition,0.004666666561039709,15,0.06666666666666667
15,2,5,diffusion,0.004666666508226232,15,0.06666666666666667
15,2,5,diffusion_change,1.0210605451421717e-10,15,0.06666666666666667
15,2,5,uplift,0.005599999841559565,15,0.06666666666666667
15,2,5,uplift_change,0.0009333333333333329,15,0.06666666666666667
15,2,5,deposition,0.005599999841559565,15,0.06666666666666667
15,2,6,diffusion,0.005599999778183392,15,0.06666666666666667
15,2,6,diffusion_change,1.2252726264150304e-10,15,0.06666666666666667
15,2,6,uplift,0.006533333111516725,15,0.06666666666666667
15,2,6,uplift_change,0.0009333333333333338,15,0.06666666666666667
15,2,6,deposition,0.006533333111516725,15,0.06666666666666667
15,2,7,diffusion,0.006533333037577858,15,0.06666666666666667
15,2,7,diffusion_change,1.4294847163615065e-10,15,0.06666666666666667
15,2,7,uplift,0.007466666370911191,15,0.06666666666666667
15,2,7,uplift_change,0.0009333333333333338,15,0.06666666666666667
15,2,7,deposition,0.007466666370911191,15,0.06666666666666667
15,2,8,diffusion,0.00746666628640963,15,0.06666666666666667
15,2,8,diffusion_change,1.633696788960748e-10,15,0.06666666666666667
