n_substeps,total_diffusion_change
1,1.3784315990722495e-08
2,1.723039222845807e-08
3,1.8379084061950768e-08
4,1.895342993446167e-08
5,1.929803743411576e-08
6,1.9527775764038163e-08
10,1.9987252423015606e-08
15,2.0216990735699193e-08
20,2.0331859900985655e-08
30,2.0446729049195932e-08
40,2.0504163631351272e-08
