# aspect_step loop time dt n_substeps max_diffusion_change max_uplift_change max_total_change max_elevation
2 1 0.200000 0.200000 5 5.588903671735757e-04 2.800000000000000e-03 3.124298328025896e-03 3.322651430570975e-03
2 2 0.400000 0.200000 5 2.201480219029076e-03 2.800000000000000e-03 2.222030562526052e-03 5.193990388884396e-03
2 3 0.600000 0.200000 5 2.467348356323836e-03 2.800000000000001e-03 1.921598924876091e-03 7.017689654886594e-03
2 4 0.800000 0.200000 5 2.576047888427020e-03 2.800000000000001e-03 1.628274964259716e-03 8.466090698006905e-03
2 5 1.000000 0.200000 5 2.635598130267646e-03 2.800000000000000e-03 1.375703924886840e-03 9.780046708981301e-03
3 6 1.200000 0.200000 5 2.673824935471763e-03 2.800000000000000e-03 1.156548842054746e-03 1.085818929925063e-02
3 7 1.400000 0.200000 5 2.700662351209014e-03 2.800000000000001e-03 9.811473994797114e-04 1.174310254982210e-02
3 8 1.600000 0.200000 5 2.720505936124541e-03 2.800000000000001e-03 8.302721414359757e-04 1.247234484128146e-02
3 9 1.800000 0.200000 5 2.735654827118608e-03 2.800000000000000e-03 7.020557420721728e-04 1.307577722375762e-02
3 10 2.000000 0.200000 5 2.747469244016163e-03 2.800000000000001e-03 5.985505309468141e-04 1.362901474739975e-02
4 11 2.200000 0.200000 5 2.756825424990168e-03 2.800000000000001e-03 5.105462949659516e-04 1.410111556713155e-02
4 12 2.400000 0.200000 5 2.764321507006066e-03 2.800000000000001e-03 4.353972244672960e-04 1.449821904843004e-02
4 13 2.600000 0.200000 5 2.770382671079053e-03 2.800000000000001e-03 3.713375253748420e-04 1.483284504738031e-02
4 14 2.800000 0.200000 5 2.775320249930464e-03 2.800000000000001e-03 3.167805006167503e-04 1.511529986766992e-02
4 15 3.000000 0.200000 5 2.779367449749379e-03 2.800000000000001e-03 2.711627710829684e-04 1.535409011844617e-02
